cycle,state_name,vap,vep,ballots_counted,votes_highest_office
2018,Oklahoma,3011498,2828577,1190000,1186385
2018,Oregon,3364847,3126630,1914923,1866997
2018,Pennsylvania,10172074,9745275,5043029,5012555
2018,Rhode Island,855526,802033,381267,376738
2018,South Carolina,4057306,3881840,1726527,1707569
2018,South Dakota,669423,642257,341048,339214
2018,Tennessee,5337147,5073296,2267428,2243740
2018,Texas,21711618,18377841,8375000,8371655
2018,Utah,2291926,2140159,1082972,1065630
2018,Vermont,510397,499907,278230,274087
2018,Virginia,6687863,6177626,3363505,3351373
2018,Washington,5981386,5373202,3133448,3086168
2018,West Virginia,1429959,1404206,597149,586034
2018,Wisconsin,4563564,4354527,2675000,2673308
2018,Wyoming,445747,428898,205275,203420
2020,Alabama,3837540,3683055,2325000,2323282
2020,Alaska,551117,525568,361400,359530
2020,Arizona,5798473,5189000,3420565,3385294
2020,Arkansas,2331171,2182375,1223675,1219069
2020,California,30783255,25962648,17783784,17495826
2020,Colorado,4595504,4313054,3295666,3256952
2020,Connecticut,2839560,2603327,1861086,1824280
2020,Delaware,780822,720531,509241,504010
2020,District of Columbia,582065,540685,346491,344356
2020,Florida,17543341,15551739,11144855,11067456
2020,Georgia,8255108,7383562,5000511,4997716
2020,Hawaii,1114466,1007920,579784,574469
2020,Idaho,1384683,1292701,875000,867360
2020,Illinois,9832749,9027082,6050000,6033744
2020,Indiana,5214546,5000007,3068542,3033112
2020,Iowa,2439743,2321131,1700130,1690871
2020,Kansas,2223238,2087946,1375125,1333513
2020,Kentucky,3479257,3312250,2150954,2136768
2020,Louisiana,3557594,3373932,2180000,2071543
2020,Maine,1104489,1085285,828305,819461
2020,Maryland,4729400,4313416,3050000,3037030
2020,Massachusetts,5566452,5072901,3658005,3631402
2020,Michigan,7870864,7550147,5579317,5539302
2020,Minnesota,4378737,4118462,3292997,3277171
2020,Mississippi,2279412,2201950,1325000,1313894
2020,Missouri,4794796,4603060,3050000,3012436
2020,Montana,851663,837298,612075,603640
2020,Nebraska,1469878,1383551,966920,951712
2020,Nevada,2450946,2153915,1407754,1405376
2020,New Hampshire,1115916,1079434,814499,806182
2020,New Jersey,6952008,6158999,4635585,4549353
2020,New Mexico,1634037,1515355,928230,923965
2020,New York,15372655,13670596,8661735,8594826
2020,North Carolina,8328642,7759051,5545847,5524802
2020,North Dakota,584610,565143,364251,361819
2020,Ohio,9144626,8859167,5974121,5922202
2020,Oklahoma,3031792,2845835,1565000,1560699
2020,Oregon,3405863,3196425,2413914,2374601
2020,Pennsylvania,10186170,9781976,6950000,6915283
2020,Rhode Island,857507,799642,525000,517757
2020,South Carolina,4116633,3926305,2533010,2513329
2020,South Dakota,675016,648104,427529,422609
2020,Tennessee,5391220,5124867,3065000,3053851
2020,Texas,22058260,18784280,11350000,11315056
2020,Utah,2343384,2191487,1515845,1488289
2020,Vermont,511637,499884,370968,367428
2020,Virginia,6727440,6196071,4523142,4460524
2020,Washington,6070046,5437844,4116894,4087631
2020,West Virginia,1422098,1394028,802726,794652
2020,Wisconsin,4586746,4368530,3310000,3298041
2020,Wyoming,447915,431364,278503,276765
